Date,Status,Quantity
18/11/2022 10:12:46,Out of stock,0
18/11/2022 10:33:35,Out of stock,0
18/11/2022 11:25:42,Out of stock,0
18/11/2022 11:34:38,Out of stock,0
18/11/2022 11:48:50,Out of stock,0
18/11/2022 13:01:40,Out of stock,0
18/11/2022 14:11:42,Out of stock,0
18/11/2022 14:41:32,Out of stock,0
18/11/2022 15:31:36,Out of stock,0
18/11/2022 15:49:31,Out of stock,0
18/11/2022 16:15:47,Out of stock,0
18/11/2022 17:11:55,Out of stock,0
18/11/2022 17:30:35,Out of stock,0
18/11/2022 18:14:56,Out of stock,0
18/11/2022 18:38:59,Out of stock,0
18/11/2022 18:53:26,Out of stock,0
18/11/2022 19:09:53,Out of stock,0
18/11/2022 19:23:26,Out of stock,0
18/11/2022 19:34:44,Out of stock,0
18/11/2022 19:48:40,Out of stock,0
18/11/2022 20:12:30,Out of stock,0
18/11/2022 20:30:31,Out of stock,0
18/11/2022 21:10:25,Out of stock,0
18/11/2022 21:36:42,Out of stock,0
18/11/2022 21:48:42,Out of stock,0
18/11/2022 22:49:11,Out of stock,0
18/11/2022 23:11:34,Out of stock,0
18/11/2022 23:29:44,Out of stock,0
18/11/2022 23:41:37,Out of stock,0
18/11/2022 23:49:42,Out of stock,0
19/11/2022 03:37:35,Out of stock,0
19/11/2022 03:56:41,Out of stock,0
19/11/2022 04:16:58,Out of stock,0
19/11/2022 04:53:40,Out of stock,0
19/11/2022 05:27:19,Out of stock,0
19/11/2022 06:14:12,Out of stock,0
19/11/2022 06:51:51,Out of stock,0
19/11/2022 07:10:23,Out of stock,0
19/11/2022 07:25:22,Out of stock,0
19/11/2022 07:48:29,Out of stock,0
19/11/2022 08:14:27,Out of stock,0
19/11/2022 08:36:04,Out of stock,0
19/11/2022 09:10:56,Out of stock,0
19/11/2022 09:38:02,Out of stock,0
19/11/2022 09:48:41,Out of stock,0
19/11/2022 10:11:41,Out of stock,0
19/11/2022 10:31:20,Out of stock,0
19/11/2022 11:09:15,Out of stock,0
19/11/2022 11:24:14,Out of stock,0
19/11/2022 11:34:28,Out of stock,0
19/11/2022 11:48:29,Out of stock,0
19/11/2022 12:20:03,Out of stock,0
19/11/2022 12:58:27,Out of stock,0
19/11/2022 13:26:23,Out of stock,0
19/11/2022 13:49:09,Out of stock,0
19/11/2022 14:26:20,Out of stock,0
19/11/2022 14:36:34,Out of stock,0
19/11/2022 15:11:19,Out of stock,0
19/11/2022 15:29:59,Out of stock,0
19/11/2022 16:14:46,Out of stock,0
19/11/2022 16:43:02,Out of stock,0
19/11/2022 16:57:28,Out of stock,0
19/11/2022 17:13:53,Out of stock,0
19/11/2022 17:29:03,Out of stock,0
19/11/2022 17:48:38,Out of stock,0
19/11/2022 18:13:40,Out of stock,0
19/11/2022 18:34:21,Out of stock,0
19/11/2022 18:50:44,Out of stock,0
19/11/2022 19:09:08,Out of stock,0
19/11/2022 19:22:36,Out of stock,0
19/11/2022 19:34:47,Out of stock,0
19/11/2022 19:48:46,Out of stock,0
